source_key,source_name,part,division,subdivision,section,section_title,content
ca_faq_1_partA,FAQ - ENFORCEMENT DATE OF THE COMPANIES ACT 2016 AND TRANSITIONAL ISSUES,,,,,Please clarify if the entire Companies Act 2016 will be effected on 31 January 2017 or only the six services in MyCoid 2,"Q: Please clarify if the entire Companies Act 2016 will be effected on 31 January 2017 or only the six services in MyCoid 2016 will be effected on 31 January 2017?

A: Once enforced on 31 January 2017, all provisions in the Companies Act 2016 will take
effect except section 241 and Division 8 of Part III. The six services under MyCoID is
to facilitate the incorporation of companies under the new Act and related matters."
ca_faq_1_partA,FAQ - ENFORCEMENT DATE OF THE COMPANIES ACT 2016 AND TRANSITIONAL ISSUES,,,,,What is the procedure for filing Annual Returns for companies having AGMs prior to the commencement of the Companies Act,"Q: What is the procedure for filing Annual Returns for companies having AGMs prior to the commencement of the Companies Act 2016?

A: (a) For companies having AGM before 31 January 2017, the companies are
required to submit the AR in accordance with the requirements under the
Companies Act 1965.
(b) With the exception of companies having the anniversary of the
incorporation date on 31 January 2017, companies with anniversary of
incorporation in January 2017 are not required to submit the Annual Return
in 2017 as the Companies Act 2016 has yet to take effect. Such companies'
first submission of Annual Return in compliance with the new Act will only
happen in 2018."
ca_faq_1_partA,FAQ - ENFORCEMENT DATE OF THE COMPANIES ACT 2016 AND TRANSITIONAL ISSUES,,,,,"With the decoupling of Financial Statements and Annual Returns submission, what will happen to the Financial Statements ","Q: With the decoupling of Financial Statements and Annual Returns submission, what will happen to the Financial Statements which have not been finalized and filed to Companies Commission Malaysia for previous years?

A: Companies are still required to fully comply with the provisions under section 169 of
the Companies Act 1965 in line with the transitional provision under subsection
620(4) of the Companies Act 2016.
PART A | ENFORCEMENT DATE OF THE COMPANIES ACT 2016 AND"
ca_faq_1_partA,FAQ - ENFORCEMENT DATE OF THE COMPANIES ACT 2016 AND TRANSITIONAL ISSUES,Redemption Reserve required to submit notification under subsection,,,Redemption Reserve required to submit notification under subsection,,618(8) or (9) with the Registrar? (updated on 31 January 2019)
ca_faq_1_partA,FAQ - ENFORCEMENT DATE OF THE COMPANIES ACT 2016 AND TRANSITIONAL ISSUES,Redemption Reserve required to submit notification under subsection,,,Redemption Reserve required to submit notification under subsection,What is the period for lodging this notification? (updated on 7 March 2019),"Q: What is the period for lodging this notification? (updated on 7 March 2019)

A: Such companies may submit such notification. If no notification is submitted the
Registrar will invoke subsection 618(10) of the Companies Act 2016 at the end of the
period referred to under subsection 618(8).
Pursuant to subsection 618(8), a company is required to submit the notice at any
time before-
(a) the date it is required to lodge its annual return after the end of the period
referred to under subsection 618(3); or
(b) the expiry of 180 days after the end of the period referred to under
subsection 618(3),
whichever is the earlier.
However, it is advisable for a company to adhere to the following lodgement timeline
provided the lodgement of the notice is in compliance with the requirements stated
in subsection 618(8) of the CA 2016."
ca_faq_1_partA,FAQ - ENFORCEMENT DATE OF THE COMPANIES ACT 2016 AND TRANSITIONAL ISSUES,Redemption Reserve required to submit notification under subsection,,,Redemption Reserve required to submit notification under subsection,If a company has an amount standing to the credit of its share premium account and/or capital redemption reserve as at 3,"Q: If a company has an amount standing to the credit of its share premium account and/or capital redemption reserve as at 30 January 2019, can the company lodge its annual return before submitting the notification under section 618(8) of the CA 2016 to the Registrar? (updated on 7 March 2019)

A: Anniversary Date | Lodgement Period"
ca_faq_1_partA,FAQ - ENFORCEMENT DATE OF THE COMPANIES ACT 2016 AND TRANSITIONAL ISSUES,Company having anniversary date on or,,,Company having anniversary date on or,,No. The company is required to submit the notification under section 618(8) of the
ca_faq_1_partA,FAQ - ENFORCEMENT DATE OF THE COMPANIES ACT 2016 AND TRANSITIONAL ISSUES,Company having anniversary date on or,,,Company having anniversary date on or,,CA 2016 before submitting the annual return to the Registrar if the company has
ca_faq_1_partA,FAQ - ENFORCEMENT DATE OF THE COMPANIES ACT 2016 AND TRANSITIONAL ISSUES,Company having anniversary date on or,,,Company having anniversary date on or,,share premium and/or capital redemption reserve (CRR) balances as at 30 January
ca_faq_1_partA,FAQ - ENFORCEMENT DATE OF THE COMPANIES ACT 2016 AND TRANSITIONAL ISSUES,Company having anniversary date on or,,,Company having anniversary date on or,If a company does not have any amount standing to the credit of its share premium account and/or capital redemption rese,"Q: If a company does not have any amount standing to the credit of its share premium account and/or capital redemption reserve as at 30 January 2019 or never had these accounts, can the company lodge its annual return without submitting the notification under section 618(8) of the CA 2016 to the Registrar? (updated on 7 March 2019)

A: Yes. The company has the following options:"
