source_key,source_name,part,division,subdivision,section,section_title,content
ca_faq_1_partC,FAQ - INCORPORATION,PART C INCORPORATION,,,PART C INCORPORATION,Can a single member/single director company be incorporated as a public company?,"Q: Can a single member/single director company be incorporated as a public company?

A: No, a single member/single director company can only be incorporated as a private company. Although a public company can be incorporated with only a single member, the minimum requirement for directors of a public company is two."
ca_faq_1_partC,FAQ - INCORPORATION,PART C INCORPORATION,,,PART C INCORPORATION,Can a single member/director can also be the secretary of the company?,"Q: Can a single member/director can also be the secretary of the company?

A: Yes, a person who is a single director (who is also the single member) can act as the secretary of the company. However, the Companies Act 2016 prohibits acts in dual capacity i.e. where the act is required to be done by both a director and a secretary, that act must be executed by two different persons."
ca_faq_1_partC,FAQ - INCORPORATION,PART C INCORPORATION,,,PART C INCORPORATION,Under the new Act can a foreigner in Malaysia i.e non-citizens /nonresidents be allowed to form a company as sole shareh,"Q: Under the new Act can a foreigner in Malaysia i.e non-citizens /nonresidents be allowed to form a company as sole shareholder/director?

A: A foreigner can form a company as the sole shareholder. However, if he also wants to be the sole director of the company, he has to fulfil the requirement under section 196(4) Companies Act 2016, in that he must ordinarily reside in Malaysia, by having a principal place of residence in Malaysia."
ca_faq_1_partC,FAQ - INCORPORATION,PART C INCORPORATION,,,PART C INCORPORATION,Can we incorporate a company by single corporate body since the new Companies Act 2016 allows for a single member and di,"Q: Can we incorporate a company by single corporate body since the new Companies Act 2016 allows for a single member and director?

A: Yes. PART C - Page 1 PART C | INCORPORATION"
ca_faq_1_partC,FAQ - INCORPORATION,PART C INCORPORATION,,,PART C INCORPORATION,"For directorship under the new Companies Act, why does the residential status still being required?","Q: For directorship under the new Companies Act, why does the residential status still being required?

A: Under the Companies Act 2016, section 196(4) provides the requirement for a director that he must ordinarily reside in Malaysia by having a principal place of residence in Malaysia. This requirement is only applicable to the minimum number of directors (in the case of a private company, at least one. In the case of a public company, at least two)."
ca_faq_1_partC,FAQ - INCORPORATION,PART C INCORPORATION,,,PART C INCORPORATION,Can companies switch between having a single director to multiple directors and back again anytime they like?,"Q: Can companies switch between having a single director to multiple directors and back again anytime they like?

A: Yes, provided there are no restrictions as contained in the constitution of the company and the follow the requirements as stipulated in the Companies Act 2016."
ca_faq_1_partC,FAQ - INCORPORATION,PART C INCORPORATION,,,PART C INCORPORATION,What will happened to a company if a single director who is also the single shareholder passed away?,"Q: What will happened to a company if a single director who is also the single shareholder passed away?

A: In the event a single director who is also the single director passed away, the company secretary has the duty under section 209(3) to call a meeting of next of kin for the purposes of appointing a new director. If the next of kin failed to appoint a director within 6 months of the death of the director, the Registrar may direct the company to be struck off the register."
ca_faq_1_partC,FAQ - INCORPORATION,PART C INCORPORATION,,,PART C INCORPORATION,"What is the definition of ""next of kin"" referred to under section 209(3)?","Q: What is the definition of ""next of kin"" referred to under section 209(3)?

A: The ""next of kin"" referred to under section 209(3) is not defined in the Companies Act 2016. However, for the purposes of the section, a Practice Note will be issued to address the definition. PART C - Page 2"
ca_faq_1_partC,FAQ - INCORPORATION,PART C INCORPORATION,,,PART C INCORPORATION,"What are the differences between a private limited company, sole proprietor and limited liabilities to run a business?","Q: What are the differences between a private limited company, sole proprietor and limited liabilities to run a business?

A: Besides limited liability status, a company is required to fully comply with the provisions of the Companies Act 2016. The Companies Act provides a more structured approach which codifying the requirements of establishing, managing and dissolving a company. Such requirements include the keeping, preparing and auditing of its financial statements and other corporate governance provisions (disclosures, rules of conflict, reporting, etc.) contained in the Companies Act 2016. Therefore, running a business as a company can be said to be more credible because of such assurance which is required under the law."
ca_faq_1_partC,FAQ - INCORPORATION,PART C INCORPORATION,,,PART C INCORPORATION,The Companies Act 2016 introduces a super form for incorporation. What is actually the super form?,The Companies Act 2016 introduces a super form for incorporation. What is actually the super form?
ca_faq_1_partC,FAQ - INCORPORATION,The super form is an electronic template which will replace the various form currently,,,The super form is an electronic template which will replace the various form currently,,"required for incorporation process (i.e. Form 6, Form 48A and M&A under the previous"
ca_faq_1_partC,FAQ - INCORPORATION,The super form is an electronic template which will replace the various form currently,,,The super form is an electronic template which will replace the various form currently,,Companies Act 1965). The form is accessible through the MyCoID 2016 Portal.
ca_faq_1_partC,FAQ - INCORPORATION,The super form is an electronic template which will replace the various form currently,,,The super form is an electronic template which will replace the various form currently,,Section 14 of the Companies Act 2016 provides for the incorporation process.
ca_faq_1_partC,FAQ - INCORPORATION,The super form is an electronic template which will replace the various form currently,,,The super form is an electronic template which will replace the various form currently,,"Amongst others, a person is required to provide a set of information as follows:"
ca_faq_1_partC,FAQ - INCORPORATION,The super form is an electronic template which will replace the various form currently,,,The super form is an electronic template which will replace the various form currently,,"Details of the proposed directors, members & company secretary."
ca_faq_1_partC,FAQ - INCORPORATION,The super form is an electronic template which will replace the various form currently,,,The super form is an electronic template which will replace the various form currently,Can a company submit the Memorandum & Articles of Association (M&A) at the point of incorporation?,"Q: Can a company submit the Memorandum & Articles of Association (M&A) at the point of incorporation?

A: In general, a company is only allowed to submit its Constitution after incorporation."
ca_faq_1_partC,FAQ - INCORPORATION,The company may adopt a Constitution by way of a special resolution and lodge the,,,The company may adopt a Constitution by way of a special resolution and lodge the,,Constitution with SSM within 30 days after it is adopted by the company.
ca_faq_1_partC,FAQ - INCORPORATION,The company may adopt a Constitution by way of a special resolution and lodge the,,,The company may adopt a Constitution by way of a special resolution and lodge the,,"Under section 38 of the Companies Act 2016, a company limited by guarantee"
ca_faq_1_partC,FAQ - INCORPORATION,The company may adopt a Constitution by way of a special resolution and lodge the,,,The company may adopt a Constitution by way of a special resolution and lodge the,,('CLBG') must submit its Constitution at the point of incorporation.
