source_key,source_name,part,division,subdivision,section,section_title,content
ca_faq_1_partD,FAQ - DOCUMENTS TO BE KEPT,PART D DOCUMENTS TO BE KEPT,,,PART D DOCUMENTS TO BE KEPT,When is it required to lodge the form under section 47(2) of the Companies Act 2016?,"Q: When is it required to lodge the form under section 47(2) of the Companies Act 2016?

A: There is no requirement to lodge the form under section 47(2) for any changes made prior to the commencement of the Companies Act 2016 on 31 January 2017. In the event that the change was made after the commencement date, the form under section 47(2) must be lodged within 14 days from the date of such change. If no change was made after the effective date until the date of the Annual Return, any related information should be updated in the Annual Return."
ca_faq_1_partD,FAQ - DOCUMENTS TO BE KEPT,PART D DOCUMENTS TO BE KEPT,,,PART D DOCUMENTS TO BE KEPT,"If a company has five different places where accounting records are kept, is the company required to lodge five differen","Q: If a company has five different places where accounting records are kept, is the company required to lodge five different notifications or one notification stating the different locations?

A: The company is required to lodge separate notification for each location. But if there are other statutory books or documents stated under section 47 that are also kept at the location, it is sufficient to lodge only one notification by stating the different types of documents being kept at that location."
ca_faq_1_partD,FAQ - DOCUMENTS TO BE KEPT,PART D DOCUMENTS TO BE KEPT,,,PART D DOCUMENTS TO BE KEPT,"If a company operates and keeps its accounting records in many branches, is the company required to notify SSM of the lo","If a company operates and keeps its accounting records in many branches, is the company required to notify SSM of the locations where the accounting records are being kept?"
ca_faq_1_partD,FAQ - DOCUMENTS TO BE KEPT,The obligation to notify the Registrar where the accounting records are not kept at,,,The obligation to notify the Registrar where the accounting records are not kept at,,the registered office of the company covers situations where the accounting records
ca_faq_1_partD,FAQ - DOCUMENTS TO BE KEPT,The obligation to notify the Registrar where the accounting records are not kept at,,,The obligation to notify the Registrar where the accounting records are not kept at,,are kept permanently either for the purposes of preparing the financial statements
ca_faq_1_partD,FAQ - DOCUMENTS TO BE KEPT,The obligation to notify the Registrar where the accounting records are not kept at,,,The obligation to notify the Registrar where the accounting records are not kept at,Section 232 requires a public company or its subsidiary shall keep and maintain a copy of every director's service contr,Section 232 requires a public company or its subsidiary shall keep and maintain a copy of every director's service contract for inspection at the registered office. Does the registered office means at the address of the subsidiary company? (updated on 9 June 2017)
ca_faq_1_partD,FAQ - DOCUMENTS TO BE KEPT,PART D - 1,,,PART D - 1,Does the company's name need to be displayed at the place where the accounting records are kept? (updated on 9 June 2017,"Q: Does the company's name need to be displayed at the place where the accounting records are kept? (updated on 9 June 2017)

A: Yes, directors' service contracts are to be kept at the respective registered office or if it is centralized, need to notify SSM that the contract is kept at Public company/holding. Section 30(1)(a)-(c) is referred. The company is expected to display the name and company number at the place where the accounting records are kept."
ca_faq_1_partD,FAQ - DOCUMENTS TO BE KEPT,PART D - 1,,,PART D - 1,"Must a company notify SSM the location where the accounting records are kept, if the accounting records or other records","Q: Must a company notify SSM the location where the accounting records are kept, if the accounting records or other records are kept at all regional offices, outlets and warehouse? (updated on 9 June 2017)

A: Where a company operates and keeps its accounting records in many branches, the company is required to notify SSM of the locations where the accounting records are being kept to the extent where such accounting records are kept permanently either for the purposes of preparing the financial statements or for storage."
ca_faq_1_partD,FAQ - DOCUMENTS TO BE KEPT,PART D - 1,,,PART D - 1,"What does the term ""financial records"" in the Companies Act 2016, refers to? (updated on 9 June 2017)","Q: What does the term ""financial records"" in the Companies Act 2016, refers to? (updated on 9 June 2017)

A: The word ""financial records"" under section 68 (Annual Return) refers to financial statements."
ca_faq_1_partD,FAQ - DOCUMENTS TO BE KEPT,PART D - 1,,,PART D - 1,"What is the meaning of ""branch address"" for purposes of where accounts are kept at a branch of a company? (updated on 28","Q: What is the meaning of ""branch address"" for purposes of where accounts are kept at a branch of a company? (updated on 28 September 2021)

A: A branch address is a business office location, other than the main address, where business is conducted. Most branch addresses consist of smaller divisions of different aspects of the company such as human resources, marketing, and accounting. A branch office will typically have a branch manager who will report directly to, and to a management member at the main office."
ca_faq_1_partD,FAQ - DOCUMENTS TO BE KEPT,PART D - 2,,,PART D - 2,"Must a company notify SSM the location where the accounting records are kept, if the accounting records or other records","Must a company notify SSM the location where the accounting records are kept, if the accounting records or other records are kept at all regional offices, outlets and warehouse? (updated on 9 June 2017)"
