source_key,source_name,part,division,subdivision,section,section_title,content
ca_faq_1_partE,"FAQ - NOTIFICATION OF PARTICULARS AND CHANGE IN REGISTER OF DIRECTORS, MANAGER AND SECRETARIES",,,,,"In the notification under section 58, Note 1 states the requirement that a resolution to be attached where necessary. Do","In the notification under section 58, Note 1 states the requirement that a resolution to be attached where necessary. Does this means that any change of particulars such as expiry date of passport would also require a board resolution etc.?"
ca_faq_1_partE,"FAQ - NOTIFICATION OF PARTICULARS AND CHANGE IN REGISTER OF DIRECTORS, MANAGER AND SECRETARIES",Resolutions is only required to be attached where there is a change in the,,,Resolutions is only required to be attached where there is a change in the,,appointment or removal of a director. Changes relating to the particulars of a director
ca_faq_1_partE,"FAQ - NOTIFICATION OF PARTICULARS AND CHANGE IN REGISTER OF DIRECTORS, MANAGER AND SECRETARIES",Resolutions is only required to be attached where there is a change in the,,,Resolutions is only required to be attached where there is a change in the,,"or officer such as the passport number, address etc. will not require any resolution."
ca_faq_1_partE,"FAQ - NOTIFICATION OF PARTICULARS AND CHANGE IN REGISTER OF DIRECTORS, MANAGER AND SECRETARIES",Resolutions is only required to be attached where there is a change in the,,,Resolutions is only required to be attached where there is a change in the,Director's Service Address (updated on 9 June 2017) If a director does not have any business address or e-mail address a,"Q: Director's Service Address (updated on 9 June 2017) If a director does not have any business address or e-mail address and his residential address is the only address used for communication, must the company notify SSM the service address?

A: Yes ""service address"" as defined under section 2 is linked to section 58 (similar to
the previous Form 49 - with additional info on service address). In this case the
notification must be made to notify that the residential address and the service
address are the same address. If there is a change in the name/residential/any
prescribed particulars address these changes must be notified to SSM as well."
ca_faq_1_partE,"FAQ - NOTIFICATION OF PARTICULARS AND CHANGE IN REGISTER OF DIRECTORS, MANAGER AND SECRETARIES",Resolutions is only required to be attached where there is a change in the,,,Resolutions is only required to be attached where there is a change in the,"Does service address include telefax, any electronic transmission or messenger application? (updated on 9 June 2017)","Q: Does service address include telefax, any electronic transmission or messenger application? (updated on 9 June 2017)

A: Service address is defined under section 2 as ""service address'', in relation to a
director, means an address, electronic or otherwise, provided to the company to
which any communication may be sent.
PART E - Page 1
PART E | NOTIFICATION OF PARTICULARS AND CHANGE IN
REGISTER OF DIRECTORS, MANAGER AND SECRETARIES"
ca_faq_1_partE,"FAQ - NOTIFICATION OF PARTICULARS AND CHANGE IN REGISTER OF DIRECTORS, MANAGER AND SECRETARIES",Resolutions is only required to be attached where there is a change in the,,,Resolutions is only required to be attached where there is a change in the,A company secretary had resigned and gave notice of her resignation to the Board of Directors. The directors agreed with,A company secretary had resigned and gave notice of her resignation to the Board of Directors. The directors agreed with the resignation and signed the resolution and further gave effect to this change. Can the secretary lodge her resignation through MyCoID2016? (updated on 24 September 2018)
ca_faq_1_partE,"FAQ - NOTIFICATION OF PARTICULARS AND CHANGE IN REGISTER OF DIRECTORS, MANAGER AND SECRETARIES",The secretary who has resigned cannot act as the secretary of the company and any,,,The secretary who has resigned cannot act as the secretary of the company and any,,changes with SSM can be carried out by the directors or by the newly appointed
ca_faq_1_partE,"FAQ - NOTIFICATION OF PARTICULARS AND CHANGE IN REGISTER OF DIRECTORS, MANAGER AND SECRETARIES",The secretary who has resigned cannot act as the secretary of the company and any,,,The secretary who has resigned cannot act as the secretary of the company and any,What action should a company take if there is a change in the nature of its business? (updated on 15 November 2022),"Q: What action should a company take if there is a change in the nature of its business? (updated on 15 November 2022)

A: A company must notify any change of the nature of its business within fourteen (14)
days after such change. The company may refer to PD2/2017."
ca_faq_1_partE,"FAQ - NOTIFICATION OF PARTICULARS AND CHANGE IN REGISTER OF DIRECTORS, MANAGER AND SECRETARIES",The secretary who has resigned cannot act as the secretary of the company and any,,,The secretary who has resigned cannot act as the secretary of the company and any,The applicant had lodged section 58 Form through MyCoID platform for the resignation of a director but did not include t,"Q: The applicant had lodged section 58 Form through MyCoID platform for the resignation of a director but did not include the resignation of his alternate director. How to update the resignation of the alternate director? (updated on 10 March 2023)

A: Currently, the update of the resignation of an alternate director which was not
incuded during the submission of section 58 Form through MyCoID may be made
over the counter.
PART E - Page 2"
ca_faq_1_partE,"FAQ - NOTIFICATION OF PARTICULARS AND CHANGE IN REGISTER OF DIRECTORS, MANAGER AND SECRETARIES",The secretary who has resigned cannot act as the secretary of the company and any,,,The secretary who has resigned cannot act as the secretary of the company and any,Are there any exemptions given for lodgement of section 58 which allows submission over the counter instead? (updated on,"Q: Are there any exemptions given for lodgement of section 58 which allows submission over the counter instead? (updated on 10 March 2023)

A: Lodgement under section 58 is mandatory through MyCoID platform. However, there
are exemptions as follows:
(a) change of race and nationality;
(b) name of director that has a special character;
(c) change of identification document, eg. changes from passport to permanent
residence card;
(d) resignation of the secretary without a new appointment and requirement of
Form section 58 to be signed by the director; or
(e) to obtain permission from the registration officer to submit the application over
the counter."
