source_key,source_name,part,division,subdivision,section,section_title,content
ca_faq_1_partF,FAQ - DIRECTOR,,,,,"Since there is no AGM for Sdn Bhd, how to deal with the retirement of director at AGM as provided under the existing Art","Q: Since there is no AGM for Sdn Bhd, how to deal with the retirement of director at AGM as provided under the existing Articles of Association, i.e. 1/3 of the directors must retire at every AGM? The previous AGM resolution under section 129(2) of the Companies Act 1965 was worded as ""xxx be hereby re-appointed to hold office until the next AGM"". With the abolishment of age limit, shall the public company just re-appoint the said director at 2017 AGM? Or do nothing as he will continue to be a director as per section 619(1) of the Companies Act 2016?

A: In cases where a private company's Articles of Association (Constitution) deals with the
retirement of directors at AGM, then the company must hold AGM to ensure that the
provisions of the Articles of Association are met, until the company resolves otherwise.
With the abolition of restriction of maximum age of directors (section 129 of the
Companies Act 1965), a public company is required to pass a resolution to enable the
director to continue in office at the forthcoming AGM. The application of section 619(1)
is limited to recognise the appointment of directors under the new Companies Act 2016
including any limitation or conditions attached with the appointment.
(ii) Boardroom Excellence"
ca_faq_1_partF,FAQ - DIRECTOR,,,,,Directors' fee in a private company is to be approved by the Board but the director must be notified accordingly. Can sh,"Q: Directors' fee in a private company is to be approved by the Board but the director must be notified accordingly. Can shareholders object to the decision of the Board and more so if the Board consists of directors who are also shareholders or persons nominated by shareholders?

A: The provision of the law allows a shareholder holding at least 10% of the total voting
rights to object to the decision of the Board in so far as directors' fees are concerned.
This is in line with the general principle that the shareholders are a different body to
that of the Board. The objection must also be for the reasons that the payment is not
fair for the company.
The position of the law clearly allows a shareholder who is also a director to object to
the decision of the Board. This will allow scenarios where that director/shareholder may
PART F | DIRECTORS
not be present at the Board meeting and he now wishes to object, albeit on a different
capacity."
ca_faq_1_partF,FAQ - DIRECTOR,,,,,Why is there a shift in policy in allowing interested parties to vote in related party transactions in a private company,Why is there a shift in policy in allowing interested parties to vote in related party transactions in a private company?
ca_faq_1_partF,FAQ - DIRECTOR,The prohibitive policy is premised on the fact that companies should not be transacting,,,The prohibitive policy is premised on the fact that companies should not be transacting,,with an interested party unless it has been approved at a general meeting.
ca_faq_1_partF,FAQ - DIRECTOR,The prohibitive policy is lifted for private companies where shareholders who are,,,The prohibitive policy is lifted for private companies where shareholders who are,,interested in the transaction could also take part in approving the transaction.
ca_faq_1_partF,FAQ - DIRECTOR,The prohibitive policy is lifted for private companies where shareholders who are,,,The prohibitive policy is lifted for private companies where shareholders who are,,"In changing the policy, the Government has taken into considerations that there are"
ca_faq_1_partF,FAQ - DIRECTOR,The prohibitive policy is lifted for private companies where shareholders who are,,,The prohibitive policy is lifted for private companies where shareholders who are,,many genuine transactions that could not be effected by the current prohibitive policy.
ca_faq_1_partF,FAQ - DIRECTOR,The prohibitive policy is lifted for private companies where shareholders who are,,,The prohibitive policy is lifted for private companies where shareholders who are,,"In particular, the private companies could not have access to the available resources"
ca_faq_1_partF,FAQ - DIRECTOR,The prohibitive policy is lifted for private companies where shareholders who are,,,The prohibitive policy is lifted for private companies where shareholders who are,,because such resources are held by interested parties and could not be utilised due the
ca_faq_1_partF,FAQ - DIRECTOR,The prohibitive policy is lifted for private companies where shareholders who are,,,The prohibitive policy is lifted for private companies where shareholders who are,,requirements that the resolution must be passed by uninterested shareholders only.
ca_faq_1_partF,FAQ - DIRECTOR,The prohibitive policy is lifted for private companies where shareholders who are,,,The prohibitive policy is lifted for private companies where shareholders who are,,"As such, the Government is of the view that whilst the policy requiring prior"
