source_key,source_name,part,division,subdivision,section,section_title,content
ca_faq_1_partH,FAQ - ANNUAL RETURN,PART H ANNUAL RETURN,,,PART H ANNUAL RETURN,What is the correct format for lodgement of Annual Returns/Financial,What is the correct format for lodgement of Annual Returns/Financial
ca_faq_1_partH,FAQ - ANNUAL RETURN,Statements for companies having FYE before the commencement of the,,,Statements for companies having FYE before the commencement of the,Companies Act 2016?,"Q: Companies Act 2016?

A: The lodgement of Annual Returns/Financial Statements are as follows: Date of AGM/ Example of Endorsement on Financial Statements"
ca_faq_1_partH,FAQ - ANNUAL RETURN,Statements Private Company Public Company,,,Statements Private Company Public Company,,"Date of AGM State the date ""These Audited Statement of ""These Audited Statement of"
ca_faq_1_partH,FAQ - ANNUAL RETURN,Statements Private Company Public Company,,,Statements Private Company Public Company,,before 31 of AGM; Accounts of the Company Accounts of the Company
ca_faq_1_partH,FAQ - ANNUAL RETURN,Statements Private Company Public Company,,,Statements Private Company Public Company,,January 2017 with Qualified/ Unqualified with Qualified/ Unqualified
ca_faq_1_partH,FAQ - ANNUAL RETURN,Statements Private Company Public Company,,,Statements Private Company Public Company,,(Lodgement Auditors' Report for the year Auditors' Report for the year
ca_faq_1_partH,FAQ - ANNUAL RETURN,Companies tabled at the Annual General tabled at the Annual General,,,Companies tabled at the Annual General tabled at the Annual General,,"Circulation of State the date ""These financial statements ""These financial statements"
ca_faq_1_partH,FAQ - ANNUAL RETURN,Financial of circulation and reports of the company and reports of the company,,,Financial of circulation and reports of the company and reports of the company,,Statements of Financial with Qualified/ Unqualified with Qualified/ Unqualified
ca_faq_1_partH,FAQ - ANNUAL RETURN,Financial of circulation and reports of the company and reports of the company,,,Financial of circulation and reports of the company and reports of the company,,before 31 Statements Auditors' Report for the Auditors' Report for the
ca_faq_1_partH,FAQ - ANNUAL RETURN,Financial of circulation and reports of the company and reports of the company,,,Financial of circulation and reports of the company and reports of the company,,"January 2017, and AGM; financial year end financial year end"
ca_faq_1_partH,FAQ - ANNUAL RETURN,Financial of circulation and reports of the company and reports of the company,,,Financial of circulation and reports of the company and reports of the company,,AGM held on dd/mm/yyyy were circulated dd/mm/yyyy were tabled at
ca_faq_1_partH,FAQ - ANNUAL RETURN,Financial of circulation and reports of the company and reports of the company,,,Financial of circulation and reports of the company and reports of the company,,"or after 31 (Lodgement on dd/mm/yyyy and tabled AGM held on dd/mm/yyyy"""
ca_faq_1_partH,FAQ - ANNUAL RETURN,Statements Private Company Public Company,,,Statements Private Company Public Company,,"Circulation of State the date ""These financial statements ""These financial statements"
ca_faq_1_partH,FAQ - ANNUAL RETURN,Financial of circulation and reports of the company and reports of the company,,,Financial of circulation and reports of the company and reports of the company,,Statement after of Financial with Qualified/ Unqualified with Qualified/ Unqualified
ca_faq_1_partH,FAQ - ANNUAL RETURN,Financial of circulation and reports of the company and reports of the company,,,Financial of circulation and reports of the company and reports of the company,,or on 31 Statements Auditors' Report for the Auditors' Report for the
ca_faq_1_partH,FAQ - ANNUAL RETURN,Financial of circulation and reports of the company and reports of the company,,,Financial of circulation and reports of the company and reports of the company,,"January 2017, for private financial year end financial year end"
ca_faq_1_partH,FAQ - ANNUAL RETURN,Financial of circulation and reports of the company and reports of the company,,,Financial of circulation and reports of the company and reports of the company,,AGM held after companies. dd/mm/yyyy were circulated dd/mm/yyyy were tabled at
ca_faq_1_partH,FAQ - ANNUAL RETURN,Financial of circulation and reports of the company and reports of the company,,,Financial of circulation and reports of the company and reports of the company,What is the format of the annual report and financial statements (FS) for companies having annual periods ended on or be,"Q: What is the format of the annual report and financial statements (FS) for companies having annual periods ended on or before 30 January 2017 and subsequent FS? (updated on 3 April 2017)

A: With the decoupling of financial statements (FS) and annual return submissions, annual reports which have been issued after Companies Act 2016 has come into operation may be accepted if it complies with applicable auditing and accounting standards and subject to the following: i. Financial statements for annual periods ended on or before 30 January 2017 Financial statements for annual periods ended on or before 30 January 2017 shall comply with the Companies Act 1965. The Directors' Report, Statement by Directors, Statutory Declaration and Auditors' Report (""accompanying reports"") dated on or before 31 July 2017 for these financial statements may be prepared as follows, either - (a) in compliance with the requirements under the Companies Act 1965; or (b) in compliance with the requirements under the Companies Act 2016. PART H - Page 2 Date of AGM/ Circulation of Financial Statements | Lodgement Format | Example of Endorsement on Financial Statements | | | Private Company | Public Company Circulation of Financial Statement after or on 31 January 2017,"
ca_faq_1_partH,FAQ - ANNUAL RETURN,AGM held after,,,AGM held after,,The accompanying reports which are dated after 31 July 2017 must be
ca_faq_1_partH,FAQ - ANNUAL RETURN,AGM held after,,,AGM held after,,prepared in compliance with the requirements under the Companies Act
ca_faq_1_partH,FAQ - ANNUAL RETURN,AGM held after,,,AGM held after,,ii. Financial statements for annual periods ended on or after 31
ca_faq_1_partH,FAQ - ANNUAL RETURN,AGM held after,,,AGM held after,,The financial statements for annual periods ended on or after 31 January
ca_faq_1_partH,FAQ - ANNUAL RETURN,AGM held after,,,AGM held after,,2017 and the accompanying reports for these financial statements must be
ca_faq_1_partH,FAQ - ANNUAL RETURN,AGM held after,,,AGM held after,,prepared in compliance with the requirements under the Companies Act
