source_key,source_name,part,division,subdivision,section,section_title,content
ca_faq_1_partK,FAQ - REGISTRATION OF SECRETARY,,,,,When is the enforcement date of section 241 of the CA 2016?,"Q: When is the enforcement date of section 241 of the CA 2016?

A: Section 241 of the CA 2016 comes into force on 15 March 2019."
ca_faq_1_partK,FAQ - REGISTRATION OF SECRETARY,,,,,What is the principle of section 241?,"Q: What is the principle of section 241?

A: Section 241 of the CA 2016 requires any person who is qualified to act as a secretary
and who desires to act as a secretary to register with the Registrar before he can act
as a secretary.
The Registrar will issue a practising certificate under section 241 upon satisfaction on
the qualification and requirements specified under the CA 2016, the Companies
(Practising Certificate for Secretaries) Regulations 2019 and the Guidelines Relating to
Practising Certificate for Secretaries."
ca_faq_1_partK,FAQ - REGISTRATION OF SECRETARY,,,,,Who is required to register pursuant to section 241 of the CA2016?,"Q: Who is required to register pursuant to section 241 of the CA2016?

A: All qualified person under section 235 of CA 2016 who wish to act as a secretary
irrespective of their professional background."
ca_faq_1_partK,FAQ - REGISTRATION OF SECRETARY,,,,,Who is qualified to apply for practising certificate?,"Q: Who is qualified to apply for practising certificate?

A: The following person is qualified to apply for practising certificate:
(a) A natural person aged 18 years of age and above;
(b) A citizen or permanent resident of Malaysia;
(c) A person licensed by the Commission under section 20G of the Companies
Commission of Malaysia Act 2001 (CCMA 2001) , or a member of a body as set
out in the Fourth Schedule of the CA 2016, as follows:
(i) Malaysian Institute of Chartered Secretaries and Administrators (MAICSA);
Part K - Page 1
PART K | REGISTRATION OF SECRETARY
(ii) Malaysian Institute of Accountants (MIA);
(iii) Malaysian Bar (BC);
(iv) Malaysian Association of Company Secretaries (MACS);
(v) Malaysian Institute of Certified Public Accountants (MICPA);
(vi) Sabah Law Association (SLA); or
(vii) Advocates Association of Sarawak (AAS).
(d) He is not disqualified under section 238 of the CA 2016; and
(e) He does not have any pending legal action against him under any provision of
the laws specified in the First Schedule of the CCMA 2001."
ca_faq_1_partK,FAQ - REGISTRATION OF SECRETARY,The application must be lodged through the electronic filing system which can be,,,The application must be lodged through the electronic filing system which can be,,accessed via SSM portal www.ssm.com.my or at https://esecretary.ssm.com.my
ca_faq_1_partK,FAQ - REGISTRATION OF SECRETARY,The application must be lodged through the electronic filing system which can be,,,The application must be lodged through the electronic filing system which can be,,The applicant must fill in all particulars and attach the required documents.
ca_faq_1_partK,FAQ - REGISTRATION OF SECRETARY,The application must be lodged through the electronic filing system which can be,,,The application must be lodged through the electronic filing system which can be,Should the applicant present at the SSM's office for activation as a registered user of e-secretary?,"Q: Should the applicant present at the SSM's office for activation as a registered user of e-secretary?

A: No. Online registration is sufficient."
ca_faq_1_partK,FAQ - REGISTRATION OF SECRETARY,The application must be lodged through the electronic filing system which can be,,,The application must be lodged through the electronic filing system which can be,What are the fees imposed?,"Q: What are the fees imposed?

A: The fees are:
(a) Application fee for practising certificate : RM 100.00
(b) Renewal fee for practising certificate:
Part K - Page 2
One year | RM 100.00
Two years | RM 200.00
Three years | RM 300.00"
ca_faq_1_partK,FAQ - REGISTRATION OF SECRETARY,The application must be lodged through the electronic filing system which can be,,,The application must be lodged through the electronic filing system which can be,What will happen if a secretary is a member of more than one approved body?,What will happen if a secretary is a member of more than one approved body?
ca_faq_1_partK,FAQ - REGISTRATION OF SECRETARY,He should only designate one approved body for the purpose of application for a,,,He should only designate one approved body for the purpose of application for a,Can a person who has been appointed as a secretary of a company prior to the enforcement of section 241 of the CA 2016 c,"Q: Can a person who has been appointed as a secretary of a company prior to the enforcement of section 241 of the CA 2016 continue to act as a secretary?

A: Yes, he may continue to act as a secretary to the company but is still required to register
with the Registrar within 12 months from the enforcement date."
