source_key,source_name,part,division,subdivision,section,section_title,content
ca_faq_1_partM,FAQ - ANNUAL RETURNS AND FINANCIAL REPORTING,,,,,Decoupling of Financial Statements and Annual Return - What are the time frame for filing of Financial Statements and An,"Q: Decoupling of Financial Statements and Annual Return - What are the time frame for filing of Financial Statements and Annual Returns?

A: The Companies Act 2016 de-couples the filing requirements of audited financial
statements and Annual Returns.
The audited financial statements are required to be lodged with SSM as follows:
(a) In the case of private companies, within 30 days after the audited financial
statements have been circulated to members; and
(b) In the case of public companies, within 30 days after the audited financial
statements have been tabled at the AGM.
The Annual Returns are required to be lodged with SSM within 30 days of the
anniversary of a company's incorporation date."
ca_faq_1_partM,FAQ - ANNUAL RETURNS AND FINANCIAL REPORTING,,,,,What is the procedure for filing of past financial statements to the Registrar? (updated on 13 July 2017),What is the procedure for filing of past financial statements to the Registrar? (updated on 13 July 2017)
ca_faq_1_partM,FAQ - ANNUAL RETURNS AND FINANCIAL REPORTING,Lodgement of multiple sets of audited financial statements,,,Lodgement of multiple sets of audited financial statements,,There are situations where companies failed to lodge their financial statements (FS)
ca_faq_1_partM,FAQ - ANNUAL RETURNS AND FINANCIAL REPORTING,Lodgement of multiple sets of audited financial statements,,,Lodgement of multiple sets of audited financial statements,,for past years to the Registrar and these companies intend to lodge these FS pursuant
ca_faq_1_partM,FAQ - ANNUAL RETURNS AND FINANCIAL REPORTING,Lodgement of multiple sets of audited financial statements,,,Lodgement of multiple sets of audited financial statements,,"to the Companies Act 2016. For purpose of illustrations below, FS for past years"
ca_faq_1_partM,FAQ - ANNUAL RETURNS AND FINANCIAL REPORTING,Lodgement of multiple sets of audited financial statements,,,Lodgement of multiple sets of audited financial statements,,"means on lodgement date, the lodgement of FS has exceeded the time allowed to"
ca_faq_1_partM,FAQ - ANNUAL RETURNS AND FINANCIAL REPORTING,Lodgement of multiple sets of audited financial statements,,,Lodgement of multiple sets of audited financial statements,,The lodgement may be accepted subject to compliance with the following guidelines:
ca_faq_1_partM,FAQ - ANNUAL RETURNS AND FINANCIAL REPORTING,Lodgement of multiple sets of audited financial statements,,,Lodgement of multiple sets of audited financial statements,,"(A) For private companiesFS for past years where on lodgement date, the lodgement has"
ca_faq_1_partM,FAQ - ANNUAL RETURNS AND FINANCIAL REPORTING,Lodgement of multiple sets of audited financial statements,,,Lodgement of multiple sets of audited financial statements,,prescribed under section 165(4) of the Companies Act 1965 [CA
ca_faq_1_partM,FAQ - ANNUAL RETURNS AND FINANCIAL REPORTING,Lodgement of multiple sets of audited financial statements,,,Lodgement of multiple sets of audited financial statements,,If a company has not sent and/or tabled its FS at its AGM prior to 31
ca_faq_1_partM,FAQ - ANNUAL RETURNS AND FINANCIAL REPORTING,Lodgement of multiple sets of audited financial statements,,,Lodgement of multiple sets of audited financial statements,,"January 2017, then the company may circulate these FS to members in"
ca_faq_1_partM,FAQ - ANNUAL RETURNS AND FINANCIAL REPORTING,Lodgement of multiple sets of audited financial statements,,,Lodgement of multiple sets of audited financial statements,,the manner as prescribed under section 257 and 259 of the Companies
ca_faq_1_partM,FAQ - ANNUAL RETURNS AND FINANCIAL REPORTING,Lodgement of multiple sets of audited financial statements,,,Lodgement of multiple sets of audited financial statements,,Act 2016 and lodge the FS with the Registrar within 30 days from the
