source_key,source_name,part,division,subdivision,section,section_title,content
ca_faq_1_partQ,FAQ - AUDIT EXEMPTION,The audit exemption aims to reduce the financial burden for carrying,,,The audit exemption aims to reduce the financial burden for carrying,,"company's audit on micro and small private companies, promoting ease of"
ca_faq_1_partQ,FAQ - AUDIT EXEMPTION,The audit exemption aims to reduce the financial burden for carrying,,,The audit exemption aims to reduce the financial burden for carrying,Are there any companies excluded from adopting the audit exemption framework?,"Q: Are there any companies excluded from adopting the audit exemption framework?

A: Yes, subsidiaries of public companies, exempt private companies which have
opted to lodge certificate relating to their status as an exempt private
companies, and foreign companies are excluded."
ca_faq_1_partQ,FAQ - AUDIT EXEMPTION,The audit exemption aims to reduce the financial burden for carrying,,,The audit exemption aims to reduce the financial burden for carrying,Can dormant companies adopt the audit exemption framework?,"Q: Can dormant companies adopt the audit exemption framework?

A: Yes, companies that have been dormant since incorporation or dormant in
the current financial year and in the immediate past financial year qualify for
audit exemption."
ca_faq_1_partQ,FAQ - AUDIT EXEMPTION,The audit exemption aims to reduce the financial burden for carrying,,,The audit exemption aims to reduce the financial burden for carrying,What happens if a company loses its eligibility for exemption?,"Q: What happens if a company loses its eligibility for exemption?

A: If a company no longer meets the criteria, it will lose its eligibility to adopt
the audit exemption framework for future financial years but shall remain
exempt for the qualifying years in which it is so exempt.
PART Q - Page 1
PART Q | AUDIT EXEMPTION"
ca_faq_1_partQ,FAQ - AUDIT EXEMPTION,The audit exemption aims to reduce the financial burden for carrying,,,The audit exemption aims to reduce the financial burden for carrying,What documents must a company lodge to the Registrar if it elects for audit exemption?,"Q: What documents must a company lodge to the Registrar if it elects for audit exemption?

A: The company must lodge unaudited financial statements, a directors' report,
and a certificate of compliance within 30 days of circulation pursuant to
Section 254 of the Companies Act 2016 (CA 2016)."
ca_faq_1_partQ,FAQ - AUDIT EXEMPTION,The audit exemption aims to reduce the financial burden for carrying,,,The audit exemption aims to reduce the financial burden for carrying,How does the implementation of the audit exemption regime address the audit quality concerns highlighted in the 2013 Wor,"How does the implementation of the audit exemption regime address the audit quality concerns highlighted in the 2013 World Bank's ROSC report, and what impact might it have on the auditing landscape in Malaysia?"
ca_faq_1_partQ,FAQ - AUDIT EXEMPTION,Based on the Report on the Observance of Standards and Codes in Malaysia,,,Based on the Report on the Observance of Standards and Codes in Malaysia,,"- Auditing and Accounting"" (ROSC) published by the World Bank in 2012, it"
ca_faq_1_partQ,FAQ - AUDIT EXEMPTION,Based on the Report on the Observance of Standards and Codes in Malaysia,,,Based on the Report on the Observance of Standards and Codes in Malaysia,,was reported that the demand for statutory audits is significantly high
ca_faq_1_partQ,FAQ - AUDIT EXEMPTION,Based on the Report on the Observance of Standards and Codes in Malaysia,,,Based on the Report on the Observance of Standards and Codes in Malaysia,,compared to the number of qualified auditors in Malaysia. The report also
ca_faq_1_partQ,FAQ - AUDIT EXEMPTION,Based on the Report on the Observance of Standards and Codes in Malaysia,,,Based on the Report on the Observance of Standards and Codes in Malaysia,,touched on the size of the capital market and number of companies that need
ca_faq_1_partQ,FAQ - AUDIT EXEMPTION,Based on the Report on the Observance of Standards and Codes in Malaysia,,,Based on the Report on the Observance of Standards and Codes in Malaysia,,to be audited where there are not many licensed auditors in Malaysia.
ca_faq_1_partQ,FAQ - AUDIT EXEMPTION,Independence requirements for auditors do not effectively restrict or limit the,,,Independence requirements for auditors do not effectively restrict or limit the,,"provision of a range of non-audit services to clients, and there was little"
ca_faq_1_partQ,FAQ - AUDIT EXEMPTION,Independence requirements for auditors do not effectively restrict or limit the,,,Independence requirements for auditors do not effectively restrict or limit the,,oversight of quality of audit carried out or independence of auditors.
ca_faq_1_partQ,FAQ - AUDIT EXEMPTION,Independence requirements for auditors do not effectively restrict or limit the,,,Independence requirements for auditors do not effectively restrict or limit the,,This is reflected in the number of active companies as at 31 December 2024
ca_faq_1_partQ,FAQ - AUDIT EXEMPTION,Independence requirements for auditors do not effectively restrict or limit the,,,Independence requirements for auditors do not effectively restrict or limit the,,"which is 691,960 companies compared to 1,955 of active approved auditors"
ca_faq_1_partQ,FAQ - AUDIT EXEMPTION,Independence requirements for auditors do not effectively restrict or limit the,,,Independence requirements for auditors do not effectively restrict or limit the,,"registered in Malaysia. This means the average ""auditor to company"" ratio is"
ca_faq_1_partQ,FAQ - AUDIT EXEMPTION,Independence requirements for auditors do not effectively restrict or limit the,,,Independence requirements for auditors do not effectively restrict or limit the,,one auditor to 354 companies. It may place a strain on the auditors and his
ca_faq_1_partQ,FAQ - AUDIT EXEMPTION,Independence requirements for auditors do not effectively restrict or limit the,,,Independence requirements for auditors do not effectively restrict or limit the,,resources to meet tight deadlines which will impact the efficiency of his
ca_faq_1_partQ,FAQ - AUDIT EXEMPTION,Independence requirements for auditors do not effectively restrict or limit the,,,Independence requirements for auditors do not effectively restrict or limit the,,"auditing services as well as the quality of audit. To address this, the"
