source_key,source_name,part,division,subdivision,section,section_title,content
ca_faq_1_partR,FAQ - PRACTISING CERTIFICATE,SECTION 241,,,SECTION 241,When is the enforcement date of section 241 of the CA 2016?,"Q: When is the enforcement date of section 241 of the CA 2016?

A: Section 241 of the CA 2016 comes into force on 15 March 2019."
ca_faq_1_partR,FAQ - PRACTISING CERTIFICATE,SECTION 241,,,SECTION 241,What is the principle of section 241?,"Q: What is the principle of section 241?

A: Section 241 of the CA 2016 requires any person who is qualified to act as a company secretary and who desires to act as a company secretary to register with the Registrar before he can act as a company secretary. The Registrar will issue a practising certificate under section 241 upon satisfaction on the qualification and requirements specified under the CA 2016, the Companies (Practising Certificate for Secretaries) Regulations 2019 and Guidelines Relating to Practising Certificate for Secretaries."
ca_faq_1_partR,FAQ - PRACTISING CERTIFICATE,SECTION 241,,,SECTION 241,Who is required to register pursuant to section 241 of the CA2016?,"Q: Who is required to register pursuant to section 241 of the CA2016?

A: All qualified person under section 235 of CA2016 who wish to act as a company secretary irrespective of their professional background."
ca_faq_1_partR,FAQ - PRACTISING CERTIFICATE,SECTION 241,,,SECTION 241,Who is qualified to apply for practising certificate?,"Q: Who is qualified to apply for practising certificate?

A: The following person is qualified to apply for practising certificate: (a) A natural person aged 18 years of age and above; (b) A citizen or permanent resident of Malaysia; (c) A person licensed by the Commission under section 20G of the Companies Commission of Malaysia Act 2001 (CCMA2001), or PART R | PRACTISING CERTIFICATE"
ca_faq_1_partR,FAQ - PRACTISING CERTIFICATE,SECTION 241,,,SECTION 241,,(d) A member of a body as set out in the Fourth Schedule of the
ca_faq_1_partR,FAQ - PRACTISING CERTIFICATE,SECTION 241,,,SECTION 241,,• Malaysian Institute of Certified Public Accountants (MICPA);=
ca_faq_1_partR,FAQ - PRACTISING CERTIFICATE,SECTION 241,,,SECTION 241,,(e) He is not disqualified under section 238 of the CA2016; and
ca_faq_1_partR,FAQ - PRACTISING CERTIFICATE,SECTION 241,,,SECTION 241,,(f) He does not have any pending legal action against him under any
ca_faq_1_partR,FAQ - PRACTISING CERTIFICATE,SECTION 241,,,SECTION 241,,provision of the laws specified in the First Schedule of the CCMA
ca_faq_1_partR,FAQ - PRACTISING CERTIFICATE,SECTION 241,,,SECTION 241,What will happen if a company secretary is a member of more than one approved body?,What will happen if a company secretary is a member of more than one approved body?
ca_faq_1_partR,FAQ - PRACTISING CERTIFICATE,He should only designate one approved body for the purpose of application,,,He should only designate one approved body for the purpose of application,Can a person who has been appointed as a company secretary of a company prior to the enforcement of section 241 of the C,"Q: Can a person who has been appointed as a company secretary of a company prior to the enforcement of section 241 of the CA2016 continue to act as a company secretary?

A: Yes, he may continue to act as a company secretary to the company but is still required to register with the Registrar under section 241 within 12 months from the enforcement date."
ca_faq_1_partR,FAQ - PRACTISING CERTIFICATE,He should only designate one approved body for the purpose of application,,,He should only designate one approved body for the purpose of application,Can a person who is not a citizen or permanent resident of Malaysia (foreign passport holder) apply for practising certi,"Q: Can a person who is not a citizen or permanent resident of Malaysia (foreign passport holder) apply for practising certificate?

A: No. Only a citizen or permanent resident of Malaysia is allowed to apply for PC."
ca_faq_1_partR,FAQ - PRACTISING CERTIFICATE,He should only designate one approved body for the purpose of application,,,He should only designate one approved body for the purpose of application,What will happen if a person who is not a citizen or permanent resident of Malaysia but has been appointed as a company ,"Q: What will happen if a person who is not a citizen or permanent resident of Malaysia but has been appointed as a company secretary prior to 31 January 2017?

A: He may apply for practising certificate subject to the following conditions: • he shall only act as a secretary to the companies of which he was appointed before 31 January 2017; • he shall not accept any new appointment as a company secretary; and • he has complied with the requirements under paragraph 4(a), (b) and (d) in the Guidelines Relating To Practising Certificate For Secretaries Under Section 241 Of The Companies Act 2016"
ca_faq_1_partR,FAQ - PRACTISING CERTIFICATE,He should only designate one approved body for the purpose of application,,,He should only designate one approved body for the purpose of application,How to lodge the application?,"Q: How to lodge the application?

A: The application must be lodged online through e-Secretary system which can be accessed via SSM portal www.ssm.com.my or at ttps://esecretary.ssm.com.my."
ca_faq_1_partR,FAQ - PRACTISING CERTIFICATE,The applicant must fill in all the particulars in the system and attached,,,The applicant must fill in all the particulars in the system and attached,Should the applicant present at the SSM's office for activation as a registered user of e-secretary?,"Q: Should the applicant present at the SSM's office for activation as a registered user of e-secretary?

A: No. Online registration is sufficient."
ca_faq_1_partR,FAQ - PRACTISING CERTIFICATE,The applicant must fill in all the particulars in the system and attached,,,The applicant must fill in all the particulars in the system and attached,What are the fees imposed?,"Q: What are the fees imposed?

A: Application fee for practising certificate is RM100.00."
ca_faq_1_partR,FAQ - PRACTISING CERTIFICATE,The applicant must fill in all the particulars in the system and attached,,,The applicant must fill in all the particulars in the system and attached,What is the validity period of first practising certificate??,What is the validity period of first practising certificate??
ca_faq_1_partR,FAQ - PRACTISING CERTIFICATE,The renewal of the practising certificate shall be valid for a period of not more,,,The renewal of the practising certificate shall be valid for a period of not more,What types of entities are allowed as company secretary office when applying for practising certificate?,"Q: What types of entities are allowed as company secretary office when applying for practising certificate?

A: Secretarial service provider:"
ca_faq_1_partR,FAQ - PRACTISING CERTIFICATE,The renewal of the practising certificate shall be valid for a period of not more,,,The renewal of the practising certificate shall be valid for a period of not more,Can I enter audit firm information as my company secretary office when applying for practising certificate?,"Q: Can I enter audit firm information as my company secretary office when applying for practising certificate?

A: No. Audit firm is an entity registered under Section 265 of the CA2016 dedicated to providing auditing services to companies."
ca_faq_1_partR,FAQ - PRACTISING CERTIFICATE,The renewal of the practising certificate shall be valid for a period of not more,,,The renewal of the practising certificate shall be valid for a period of not more,What documents do I need to attach when applying for renewal of practising certificate?,"Q: What documents do I need to attach when applying for renewal of practising certificate?

A: • Certificate of membership in the body approved; and • Official receipt for renewal / subscription fee of membership in approved body."
ca_faq_1_partR,FAQ - PRACTISING CERTIFICATE,The renewal of the practising certificate shall be valid for a period of not more,,,The renewal of the practising certificate shall be valid for a period of not more,Can the certificate of the Institute of Chartered Secretaries and Administrator (ICSA) be used as a supporting document ,"Q: Can the certificate of the Institute of Chartered Secretaries and Administrator (ICSA) be used as a supporting document for membership in MAICSA?

A: Yes, if the company secretary is an associate's member of ICSA."
ca_faq_1_partR,FAQ - PRACTISING CERTIFICATE,SECTION 241,,,SECTION 241,What are the requirements to renew my practising certificate?,"Q: What are the requirements to renew my practising certificate?

A: a) Not an undischarged bankrupt; b) Not convicted whether in or outside Malaysia of any offence referred to in section 198 of the Companies Act 2016; c) No pending legal action under any provision of the laws in First Schedule Companies Commission of Malaysia Act 2001; d) Company secretary license or membership in approved body must be valid at least 30 days from the date of renewal application is made; and e) Comply with the CPE requirements f) Must have been appointed and named as a company secretary in at least one company during the validity period of the practising certificate preceding its renewal (New - updated 23.10.2025)"
