source_key,source_name,part,division,subdivision,section,section_title,content
ca_faq_act,FAQs ON THE COMPANIES ACT 2016 (ACT 777) [BACKGROUND TO THE REVIEW PROCESS AND NEW MALAYSIAN COMPANIES ACT],The structured review process of the Companies Act actively began,,,The structured review process of the Companies Act actively began,,in December 2003 when SSM established the Corporate Law Reform
ca_faq_act,FAQs ON THE COMPANIES ACT 2016 (ACT 777) [BACKGROUND TO THE REVIEW PROCESS AND NEW MALAYSIAN COMPANIES ACT],The structured review process of the Companies Act actively began,,,The structured review process of the Companies Act actively began,,formulated in 2003 to develop a dynamic and conducive regulatory
ca_faq_act,FAQs ON THE COMPANIES ACT 2016 (ACT 777) [BACKGROUND TO THE REVIEW PROCESS AND NEW MALAYSIAN COMPANIES ACT],SSM established the CLRC to spearhead the review of the,,,SSM established the CLRC to spearhead the review of the,, To create a legal and regulatory structure that will facilitate
ca_faq_act,FAQs ON THE COMPANIES ACT 2016 (ACT 777) [BACKGROUND TO THE REVIEW PROCESS AND NEW MALAYSIAN COMPANIES ACT],CLRC in recommending the changes to be made to the,,,CLRC in recommending the changes to be made to the,,"When reviewing and recommending changes to the Companies Act,"
ca_faq_act,FAQs ON THE COMPANIES ACT 2016 (ACT 777) [BACKGROUND TO THE REVIEW PROCESS AND NEW MALAYSIAN COMPANIES ACT],CLRC in recommending the changes to be made to the,,,CLRC in recommending the changes to be made to the,, Reducing duplications and conflicts that exists between the
ca_faq_act,FAQs ON THE COMPANIES ACT 2016 (ACT 777) [BACKGROUND TO THE REVIEW PROCESS AND NEW MALAYSIAN COMPANIES ACT],CLRC in recommending the changes to be made to the,,,CLRC in recommending the changes to be made to the,, Simplifying the existing operational processes of a company;
ca_faq_act,FAQs ON THE COMPANIES ACT 2016 (ACT 777) [BACKGROUND TO THE REVIEW PROCESS AND NEW MALAYSIAN COMPANIES ACT],CLRC in recommending the changes to be made to the,,,CLRC in recommending the changes to be made to the,, Simplifying the current legislative language as used in the
ca_faq_act,FAQs ON THE COMPANIES ACT 2016 (ACT 777) [BACKGROUND TO THE REVIEW PROCESS AND NEW MALAYSIAN COMPANIES ACT],CLRC in recommending the changes to be made to the,,,CLRC in recommending the changes to be made to the,"Was the public consulted during the process of formulating recommendations of changes to the Companies Act by CLRC? Yes,","Was the public consulted during the process of formulating recommendations of changes to the Companies Act by CLRC? Yes, public consultation was extensively conducted during the review process. The CLRC had, throughout the Law Reform Programme, issued a total of 12 consultative documents for public consultation. Such consultation process is vital to ensure that the views and feedback of the industry and stakeholders are taken into consideration when formulating the recommendations."
ca_faq_act,FAQs ON THE COMPANIES ACT 2016 (ACT 777) [BACKGROUND TO THE REVIEW PROCESS AND NEW MALAYSIAN COMPANIES ACT],This is especially important since the proposed recommendations,,,This is especially important since the proposed recommendations,,will have a direct impact on the business community. The views and
ca_faq_act,FAQs ON THE COMPANIES ACT 2016 (ACT 777) [BACKGROUND TO THE REVIEW PROCESS AND NEW MALAYSIAN COMPANIES ACT],This is especially important since the proposed recommendations,,,This is especially important since the proposed recommendations,,feedback play a significant part in ensuring that the proposed
ca_faq_act,FAQs ON THE COMPANIES ACT 2016 (ACT 777) [BACKGROUND TO THE REVIEW PROCESS AND NEW MALAYSIAN COMPANIES ACT],This is especially important since the proposed recommendations,,,This is especially important since the proposed recommendations,,recommendations will facilitate and promote business growth.
ca_faq_act,FAQs ON THE COMPANIES ACT 2016 (ACT 777) [BACKGROUND TO THE REVIEW PROCESS AND NEW MALAYSIAN COMPANIES ACT],This is especially important since the proposed recommendations,,,This is especially important since the proposed recommendations,What were the outcomes of the reform process conducted by CLRC?,What were the outcomes of the reform process conducted by CLRC?
ca_faq_act,FAQs ON THE COMPANIES ACT 2016 (ACT 777) [BACKGROUND TO THE REVIEW PROCESS AND NEW MALAYSIAN COMPANIES ACT],The Final Report proposed changes that should be implemented to,,,The Final Report proposed changes that should be implemented to,,"After due consideration, SSM's Board formally accepted 183 out of"
ca_faq_act,FAQs ON THE COMPANIES ACT 2016 (ACT 777) [BACKGROUND TO THE REVIEW PROCESS AND NEW MALAYSIAN COMPANIES ACT],The Final Report proposed changes that should be implemented to,,,The Final Report proposed changes that should be implemented to,,"the 188 recommendations, which were then consolidated into 19"
ca_faq_act,FAQs ON THE COMPANIES ACT 2016 (ACT 777) [BACKGROUND TO THE REVIEW PROCESS AND NEW MALAYSIAN COMPANIES ACT],Policy Statements which formed the basis for the Companies Act,,,Policy Statements which formed the basis for the Companies Act,What were the scope and issues covered in the 188 Recommendations by CLRC? The CLRC's recommendations covered all aspect,"What were the scope and issues covered in the 188 Recommendations by CLRC? The CLRC's recommendations covered all aspects of the legal framework relating to the administration of companies ranging from inception of a company (preliminaries & incorporation process), life span (management, capital, shares, charges, corporate governance up to its demise (winding-up, striking-off & dissolution). Issues related to good governance, shareholders' protection, enforcement and sanctions were also carefully considered and included."
ca_faq_act,FAQs ON THE COMPANIES ACT 2016 (ACT 777) [BACKGROUND TO THE REVIEW PROCESS AND NEW MALAYSIAN COMPANIES ACT],Policy Statements which formed the basis for the Companies Act,,,Policy Statements which formed the basis for the Companies Act,What were the 19 Policy Statements formulated based on the CLRC's Recommendations?  Modernizing the Companies Act;  Fa,"What were the 19 Policy Statements formulated based on the CLRC's Recommendations?  Modernizing the Companies Act;  Facilitating & Modernizing Entrance into the Corporate Sector;  Migration to No Par Value Regime;  Facilitating the Management & Restructuring of the Company's Share Composition;  Simplifying & Facilitating Internal Decision Making Process;  Strengthening the Corporate Governance Structure in Relation to the Affairs of the Directorship of a Company;  Reinforcing The Roles, Functions & Obligations of the Company Secretaries;  Establishment of a Registration Regime for Practicing Company Secretaries;  Integrating the Contents of the New Companies Act with the Notions & Elements of Corporate Responsibility;  Enhancement of Shareholders' Rights & Protection;  Strengthening the Corporate Governance Structure Through Refinement of Auditors' Role & Responsibilities;  Reaffirming the Importance of Audited Financial Statements & the Timely Disclosure of such Information;  Strengthening Good Corporate Governance Practices Through Enhancement & Refinement of Rules Pertaining to Transactions Involving Directors & Substantial Shareholders;  Simplifying, Refining & Expediting the Winding Up Process;  Modernizing Insolvency Law by Introducing Corporate Rescue Mechanisms to Revive Financially Troubled Companies;  Restructuring the Concept of Scheme of Arrangements Between a Company and its Creditors;  Refining The Role of Receivers/Receiver & Managers;  Refining the Current System of Registration of Charges by Improving the Procedures and Processes Involved; and  Modernizing the Enforcement Regime."
ca_faq_act,FAQs ON THE COMPANIES ACT 2016 (ACT 777) [BACKGROUND TO THE REVIEW PROCESS AND NEW MALAYSIAN COMPANIES ACT],Policy Statements which formed the basis for the Companies Act,,,Policy Statements which formed the basis for the Companies Act,What are the basic philosophies adopted in modernizing the Malaysian Companies Act?  The introduction of a new legal fr,What are the basic philosophies adopted in modernizing the Malaysian Companies Act?  The introduction of a new legal framework applicable to all companies;  Simplifying laws and procedures for companies based on private/public distinction and facilitating the growth of private companies; and  Removing obstacles and facilitating the growth of private companies.
ca_faq_act,FAQs ON THE COMPANIES ACT 2016 (ACT 777) [BACKGROUND TO THE REVIEW PROCESS AND NEW MALAYSIAN COMPANIES ACT],Policy Statements which formed the basis for the Companies Act,,,Policy Statements which formed the basis for the Companies Act,Are there any provisions that will be introduced to facilitate and modernize the entrance into the corporate sector? Yes,"Are there any provisions that will be introduced to facilitate and modernize the entrance into the corporate sector? Yes. In order to facilitate and modernize the entrance into the corporate sector, the following provisions will be introduced:  Conferment of companies with full capacity of a natural person. However, companies may elect or decide to have their object clauses should they wish to limit their capacity. Notwithstanding, non-profit making companies would still be required to specify their objects.  Introduction of the concept of a single member company where a company can be incorporated by only one member and that member can also be the director; and  Fees to incorporate a company will be based on the type of companies."
ca_faq_act,FAQs ON THE COMPANIES ACT 2016 (ACT 777) [BACKGROUND TO THE REVIEW PROCESS AND NEW MALAYSIAN COMPANIES ACT],Policy Statements which formed the basis for the Companies Act,,,Policy Statements which formed the basis for the Companies Act,What are the new provisions introduced under the Companies Act 2016 to remove the obstacles in incorporating a company? ,"What are the new provisions introduced under the Companies Act 2016 to remove the obstacles in incorporating a company?  The process of incorporating a company currently consists of several procedures thus making the incorporation process becomes unduly complicated and may be seen as unnecessary obstacles. By examining the whole process, some of the procedures could be simplified or removed to provide simple and easy incorporation process.  Under the current regulatory structure, the current company's name reservation process will be made optional by introducing the ""guaranteed name approval"" concept. Through the guaranteed name approval process, persons intending to incorporate a company will have the option to use the name they have proposed or if such name is not approved, to use the company's registration number (as a temporary measure).  Removing the requirement for Memorandum & Articles at the point of incorporation. A company will have the option whether to adopt its own Articles of Association and such adoption could be done after its incorporation. In view of this, some provisions contained in the current Table A are adopted as substantive law.  To further simplify the incorporation process, all statutory declaration by Promoters/Directors which previously required to be executed before a Commissioners' of Oath is now replaced with statement of compliance.  At the same time, the law also liberalise the qualification of secretaries to include directors. Directors can also act as secretaries for private companies (PROVISO: same person cannot act as both director/secretary relating to actions that require to be done by both a director and secretary). If compliance is not observed, Registrar is empowered to direct a company to appoint a qualified company secretary.  The law will also introduce a single incorporation template as opposed to the current regime where several documents (name search approval, statement of compliance by company secretary, statutory declaration by directors, and Memorandum and Articles of Association) are required for the purposes of incorporation. The incorporation process can be completed by the promoter /shareholder/director without having to require a company secretary to do so;  The requirements for certificates of incorporation and company seals are made optional; and  Most importantly, SSM will also be leveraging on the advent of technology to facilitate the incorporation process and submission of documents to SSM."
ca_faq_act,FAQs ON THE COMPANIES ACT 2016 (ACT 777) [BACKGROUND TO THE REVIEW PROCESS AND NEW MALAYSIAN COMPANIES ACT],Policy Statements which formed the basis for the Companies Act,,,Policy Statements which formed the basis for the Companies Act,What are the benefits offered through the introduction of the No Par Value (NPV) regime?  Companies will no longer be r,"What are the benefits offered through the introduction of the No Par Value (NPV) regime?  Companies will no longer be required to state its authorised share capital.  The NPV regime will bring about simplification of accounts where share premium accounts and reserves will no longer be applicable. (During the transition period, companies are given the opportunity to utilise the amount standing in credit in their share premium accounts for specific purposes, such as to write off preliminary expenses of a company and to use for redemption of shares).  Companies will no longer subject to lengthy and costly procedures to increase share capital."
ca_faq_act,FAQs ON THE COMPANIES ACT 2016 (ACT 777) [BACKGROUND TO THE REVIEW PROCESS AND NEW MALAYSIAN COMPANIES ACT],Policy Statements which formed the basis for the Companies Act,,,Policy Statements which formed the basis for the Companies Act,What are the new provisions which would facilitate the management and restructuring of the company's share composition? ,"What are the new provisions which would facilitate the management and restructuring of the company's share composition?  Under the Companies Act 2016, a new procedure for the reduction of capital is provided, where the directors are required to make a solvency statement to be approved by shareholders of the company. This procedure is in addition to the current procedure where a reduction of capital can only be carried out if a Court order has been obtained.  Similarly, the rules relating to share buyback and financial assistance provisions are also enhanced by introducing solvency tests before a company is allowed to carry out such corporate exercises.  To facilitate the disposal of treasury shares as a result of share buyback exercise, the limitation that such disposal be carried out on the stock exchange will be removed by allowing treasury shares to be sold through private treaty in accordance to the Bursa Malaysia Listing Requirements."
