source_key,source_name,part,division,subdivision,section,section_title,content
ca_gazette29,Companies (Licence For Omission Of 'Berhad' Or 'Bhd.') Regulations 2025,,,,,,"14 Julai 2025
14 July 2025
FEDERAL GOVERNMENT
GAZETTE
COMPANIES (LICENCE FOR OMISSION OF ""BERHAD""
OR ""BHD."") REGULATIONS 2025 |"
ca_gazette29,Companies (Licence For Omission Of 'Berhad' Or 'Bhd.') Regulations 2025,Citation and commencement,,,Citation and commencement,Citation and commencement,"1. (1) These regulations may be cited as the Companies (Licence for Omission
of ""Berhad"" or ""Bhd."") Regulations 2025.
(2) These Regulations come into operation on 15 July 2025."
ca_gazette29,Companies (Licence For Omission Of 'Berhad' Or 'Bhd.') Regulations 2025,Citation and commencement,,,"Licence for omission of the word ""Berhad"" or ""Bhd.""","Licence for omission of the word ""Berhad"" or ""Bhd.""","2. (1) A company limited by guarantee may apply to the Minister,
through the Registrar, for a licence to omit the word ""Berhad"" or ""Bhd."" in its name
pursuant to subsection 45(3) of the Act in the form as determined by the Minister.
(2) An application referred to in subregulation (1) shall be accompanied
by the payment of a fee of three hundred ringgit and the following documents:
(a) a copy of a special resolution on the omission of the word
""Berhad"" or ""Bhd."" in the name of the company passed
at a general meeting of the company;
(b) a copy of the latest bank statement of the company or any other
document which proves that the company limited by guarantee
owns at least one million ringgit in cash or any cash equivalent
at the time of application; and
(c) any other document as may be required by the Registrar to assess
the eligibility of the company."
ca_gazette29,Companies (Licence For Omission Of 'Berhad' Or 'Bhd.') Regulations 2025,Qualification for licence,,,Qualification for licence,Qualification for licence,3. No company limited by guarantee may apply for the licence referred to
ca_gazette29,Companies (Licence For Omission Of 'Berhad' Or 'Bhd.') Regulations 2025,Issuance of licence,,,Issuance of licence,Issuance of licence,"4. The Minister may issue a license for the omission of the word ""Berhad"" or ""Bhd""
from the name of a company limited by guarantee if the Minister is satisfied that
all requirements under regulations 2 and 3 are complied with."
ca_gazette29,Companies (Licence For Omission Of 'Berhad' Or 'Bhd.') Regulations 2025,General conditions,,,General conditions,General conditions,"5. (1) In addition to any other conditions as may be imposed by the Minister,
the company limited by guarantee which holds a licence under
regulation 4 shall comply with all conditions as follows:
(a) the company shall ensure that the financial resources of
the company are used in accordance with the constitution of
the company at all time;
(b) unless approved by the Registrar-
(i) the company shall not amend its constitution;
(ii) the company shall not appoint any new director after
the issuance of the licence;
(iii) subject to paragraph (c), the company shall not allow the
payment of any fee, salary or fixed allowance to its directors;
(iv) the company shall not solicit any contribution or donation
from the public; and
(v) the company shall not establish or hold any subsidiary; and
(c) where the company intends to pay any fee, salary or fixed allowance
based on the performance of a financial year to its directors,
the total amount payable shall not exceed thirty per cent of
the current assets of the company limited by guarantee before
the payment is made on the condition that-
(i) the company shall have been incorporated for not less
than two years; and
(ii) the company shall be able to pay its debts when the debts
become due and payable within twelve months immediately
after the payment."
ca_gazette29,Companies (Licence For Omission Of 'Berhad' Or 'Bhd.') Regulations 2025,General conditions,,,General conditions,General conditions,"(2) The company limited by guarantee and every officer who fail to comply
with any condition under subregulation (1) commit an offence and shall,
upon conviction, be liable to a fine not exceeding five hundred thousand ringgit."
ca_gazette29,Companies (Licence For Omission Of 'Berhad' Or 'Bhd.') Regulations 2025,Revocation of licence,,,Revocation of licence,Revocation of licence,"6. (1) The Minister may, upon the recommendation of the Registrar,
revoke the licence issued under regulation 4 if the company limited by guarantee fails
to comply with any of the conditions prescribed under regulation 5 or imposed
by the Minister.
(2) Before the revocation of licence, a notice in writing shall be issued to
the company limited by the guarantee-
(a) stating the grounds and the date on which the licence is revoked;
and
(b) requiring the company limited by the guarantee to explain
the non-compliance within certain period.
(3) Unless the Minister determines otherwise upon receiving the explanation
of the company limited by the guarantee, the revocation shall take effect on the date
as specified in the notice and the word ""Berhad"" or ""Bhd."" shall be inserted into the end
of the name of the company limited by guarantee.
(4) A company limited by guarantee whose license is revoked shall not be
eligible to apply for a licence under section 45 of the Act within twenty-four months
after the revocation of its licence."
ca_gazette29,Companies (Licence For Omission Of 'Berhad' Or 'Bhd.') Regulations 2025,Saving and transitional,,,Saving and transitional,Saving and transitional,"7. (1) Subject to subregulations (2) and (3), any licence issued by the Minister
before the date of coming into operation of these Regulations shall continue to be valid
and be dealt with under these Regulations as if the licence had been issued according to
these Regulations.
(2) Regulation 5 shall apply to a licence which is issued before the date
of coming into operation of these Regulations thirty days after the company limited
by guarantee is notified of the coming into operation of these Regulations and
any condition of licence which is inconsistent with regulation 5 shall cease to have effect
to the extent of the inconsistency.
(3) Where a company limited by guarantee which is issued with a licence
under section 45 of the Act subject to the condition that the company limited
by guarantee obtains a financial contribution amounting to one million ringgit
fails to meet the condition within six months from the date of coming into operation
of these Regulations-
(a) the Minister may, upon the recommendation of the Registrar,
revoke the licence of the company limited by guarantee; and
(b) the company limited by guarantee may apply for a new licence in
accordance with these Regulations at any time after the revocation.
(4) Any pending application made under subsection 45(3) of the Act
immediately before the coming into operation of these Regulations shall continue
to be dealt with as if these Regulations had not been made."
ca_gazette29,Companies (Licence For Omission Of 'Berhad' Or 'Bhd.') Regulations 2025,Saving and transitional,,,Saving and transitional,Saving and transitional,"[KPDNKK.100-1/4/25; PN(PU2)740/JLD.4]
DATUK ARMIZAN BIN MOHD ALI"
