source_key,source_name,part,division,subdivision,section,section_title,content
ca_gl_3,Guidelines for the Reporting Framework for Beneficial Ownership of Companies,BENEFICIAL OWNERSHIP OF COMPANIES,,,BENEFICIAL OWNERSHIP OF COMPANIES,BENEFICIAL OWNERSHIP OF COMPANIES,The Guidelines are issued pursuant to Section 20C of the Companies Commission of Malaysia Act 2001 [Act 614] (CCMA 2001) and Section 60A of the Companies Act 2016 [Act 777] (CA 2016).
ca_gl_3,Guidelines for the Reporting Framework for Beneficial Ownership of Companies,BENEFICIAL OWNERSHIP OF COMPANIES,,,A. OBJECTIVES,A. OBJECTIVES,"2. The Guidelines are issued to assist companies to understand and fully comply with the beneficial ownership reporting requirements pursuant to the CA 2016. In particular, the Guidelines will highlight the criteria in determining a beneficial owner, the obligation of companies to provide the name of a senior management where a beneficial owner cannot be identified and other related obligations."
ca_gl_3,Guidelines for the Reporting Framework for Beneficial Ownership of Companies,BENEFICIAL OWNERSHIP OF COMPANIES,,,B. BACKGROUND,B. BACKGROUND,"3. Business entities such as companies, limited liability partnerships and businesses play a vital role in supporting the economic growth of a country. In Malaysia, businesses drive economic stability and growth by providing valuable goods and services as well as contributing to nation building through direct and indirect taxes. 4. On the other hand, businesses are also susceptible to be misused for carrying out illicit activities such as money laundering, terrorism financing, proliferation financing and other serious crimes. Often the individual perpetrators hiding behind such businesses employ devious means to avoid their identity from being easily detected. 5. To minimize the risks faced by companies in Malaysia against illicit activities, the CA 2016 has introduced provisions relating to beneficial ownership reporting framework with the objective of promoting corporate transparency through a disclosure regime. 6. Taking into consideration the importance of having a robust reporting framework, the CA 2016 was amended through the Companies (Amendment) Act 2024 [A1701] to introduce a new Division 8A encompassing a more comprehensive beneficial ownership reporting framework in line with the current international standards and best practices. 7."
ca_gl_3,Guidelines for the Reporting Framework for Beneficial Ownership of Companies,BENEFICIAL OWNERSHIP OF COMPANIES,,,B. BACKGROUND,B. BACKGROUND,"Under the new beneficial ownership reporting framework, several improvements are introduced, amongst others: (a) The new definition of 'beneficial owner' as a natural person who ultimately owns or controls a company through interest in shares and effective interest and includes an individual who exercises ultimate effective control over the company; (b) The obligation of companies to have in place a register of beneficial owners that must be kept at the registered office; and (c) The obligation of beneficial owners to notify companies of their status as beneficial owners of the companies including any changes to the information recorded in the register of beneficial owners kept by the companies."
ca_gl_3,Guidelines for the Reporting Framework for Beneficial Ownership of Companies,BENEFICIAL OWNERSHIP OF COMPANIES,,,C. A GLANCE THROUGH THE DEFINITION OF 'BENEFICIAL,C. A GLANCE THROUGH THE DEFINITION OF 'BENEFICIAL,"OWNERS' 8. A beneficial owner is always a natural person who ultimately owns or controls a company. 9. Section 60A of the CA 2016 defines a beneficial owner as 'a natural person who ultimately owns or controls over a company and includes a person who exercises ultimate effective control over a company. 10. In addition, section 60A of the CA 2016 also empowers the Registrar to specify the criteria in determining and identifying the beneficial owner of a company. 11. It is important to understand that the concept of beneficial ownership extends beyond ownership structure and as such the guidance provided in these Guidelines will ensure all companies are able to comply with the reporting framework."
ca_gl_3,Guidelines for the Reporting Framework for Beneficial Ownership of Companies,BENEFICIAL OWNERSHIP OF COMPANIES,,,D. APPLICATION,D. APPLICATION,"12. Unless otherwise stipulated, the Guidelines are applicable to local and foreign companies incorporated or registered under the CA 2016."
ca_gl_3,Guidelines for the Reporting Framework for Beneficial Ownership of Companies,BENEFICIAL OWNERSHIP OF COMPANIES,,,E. EXEMPTION,E. EXEMPTION,"13. For the purposes of the Guidelines, no company is exempted from the application of Division 8A of the CA 2016. SECTION 1: PERSONS RESPONSIBLE FOR THE BENEFICIAL"
ca_gl_3,Guidelines for the Reporting Framework for Beneficial Ownership of Companies,OWNERSHIP INFORMATION,,,OWNERSHIP INFORMATION,OWNERSHIP INFORMATION,"14. Generally, a company has the duty to obtain, verify and record the beneficial ownership information in the register of beneficial owners and to maintain the register of beneficial owners together with the relevant supporting documents. 15. In addition, the company must ensure that the beneficial ownership information is accurate and up to date at all times and can be accessed in a timely manner. 16. As various parties are involved in ensuring the beneficial ownership reporting framework is fully complied, it is imperative that these parties fully understand their roles and responsibilities. 17. The roles and responsibilities of the relevant parties regarding the beneficial ownership information of companies are as follows: (a) Board of directors The board of directors is ultimately responsible in ensuring that the company has exercised its powers under subsections 60C(1), (2) and (3) of the CA 2016 in obtaining the beneficial ownership information from its members or any persons who is believed to be a beneficial owner. After the beneficial owners are identified, the board of directors must ensure that once the beneficial ownership information is received, the information must be recorded in the register of beneficial owners pursuant to subsection 60C(4) and the register of beneficial owners shall be kept at the registered office pursuant to the requirement under subsection 60B(2)."
ca_gl_3,Guidelines for the Reporting Framework for Beneficial Ownership of Companies,OWNERSHIP INFORMATION,,,OWNERSHIP INFORMATION,OWNERSHIP INFORMATION,"The board of directors must ensure that the beneficial ownership information in the register of beneficial owners is accurate at all times. The board of directors must also ensure that the company exercises its powers when there is reasonable ground to believe that there is a change to the beneficial ownership information stated in the register of beneficial owners pursuant to subsection 60C(5), or when there are incorrect particulars of the beneficial owners stated in the register of beneficial owners pursuant to subsection 60C(6). (b) Members of the company If a member of a company receives a notice issued pursuant to subsection 60C(1) or (3) of the CA 2016, the member has an obligation to inform the company whether he is a beneficial owner as defined under Section 60A of the CA 2016 and provide the relevant information and the criteria categorising him as a beneficial owner under paragraph 27 or 29 of the Guidelines. The obligations of a member under subsections 60C(1) and (3) are also extended to the need for that member to indicate as far as possible persons by name and other particulars sufficient to enable any other person to be identified as beneficial owners of the company."
ca_gl_3,Guidelines for the Reporting Framework for Beneficial Ownership of Companies,OWNERSHIP INFORMATION,,,OWNERSHIP INFORMATION,OWNERSHIP INFORMATION,"(Please refer to Annexure A of the Guidelines for samples of notice and reply) (c) Any person other than a member of the company who has been given notice under subsections 60C(2) and (3) of the CA 2016 If a person who is not a member of a company receives a notice from the company under subsection 60C(2) or (3) of the CA 2016, that person has the obligation to confirm and inform the company if he is the beneficial owner of the company as defined under Section 60A of the CA 2016 or to state if he knows or has reasonable ground to believe any other person is a beneficial owner of the company. The person who is being identified by the member as a beneficial owner has similar obligations as the member as far as possible to indicate any other person by name and provide other particulars sufficient to enable those persons to be identified as beneficial owners of the company. (Please refer to Annexure A of the Guidelines for samples of notice and reply) (d) Company secretary/Agent In line with the responsibilities to properly record, keep and regularly maintain the register of beneficial owners pursuant to subsection 60C(4) of the CA 2016, the company secretary/agent must ensure that the beneficial ownership information is entered into the register of beneficial owners of the company in accordance with the requirement set out under Section 60B of the CA 2016."
